date,siteID,daily_mean,daily_min,daily_max,daily_var,midday_mean,midday_min,midday_max,midday_var,midday_expuncert,midday_meanstderr
2017-04-21,HARV,6.28218375,4.9267,11.4231,2.26E-04,5.37191,4.9704,6.1262,0.0067,0.1369,0.0019
2017-04-22,HARV,5.413275,2.9381,10.3316,7.24E-04,3.577925,2.9381,4.6474,0.0223,0.1363,0.0035
2017-04-23,HARV,8.995643333,-0.7386,21.466,0.026237297,5.15608,0.5577,7.8538,0.4964,0.1401,0.0166
2017-04-24,HARV,12.31893417,0.2932,23.6358,0.024828759,8.25638,2.572,13.6449,0.7487,0.1452,0.0204
2017-04-25,HARV,8.733687917,5.8856,16.3776,9.57E-04,7.38032,6.8237,8.1404,0.0055,0.1378,0.0018
2017-04-26,HARV,9.00420125,5.6674,14.5543,3.66E-04,8.004685,7.3191,9.3434,0.0144,0.1383,0.0029
2017-04-27,HARV,13.52746333,10.4013,19.2445,0.001905697,11.719915,10.6589,13.3208,0.0537,0.1402,0.0055
2017-04-28,HARV,17.51579917,12.9771,28.2916,0.026471816,14.132325,13.5102,15.284,0.0577,0.141,0.0057
2017-04-29,HARV,19.08599375,12.1502,28.9177,0.024046287,17.568275,14.1061,20.9494,0.3729,0.145,0.0144
2017-04-30,HARV,10.2147825,4.6959,17.8466,0.043957381,6.47217,5.104,9.0744,0.3352,0.1404,0.0136
2017-05-01,HARV,7.741037917,4.5345,11.1447,2.24E-04,5.783765,4.766,7.4065,0.0589,0.1377,0.0057
2017-05-02,HARV,10.63139833,6.5649,19.7127,0.01011219,7.725555,7.0886,8.6308,0.0159,0.138,0.003
2017-05-03,HARV,9.581944583,4.462,16.1473,0.062711522,9.878535,8.0704,11.5755,0.1169,0.1398,0.0081
2017-05-04,HARV,9.54512125,-1.1433,21.3173,0.024482807,7.86837,2.5849,10.7894,0.7928,0.1428,0.021
2017-05-05,HARV,7.420579167,4.7394,13.2105,4.71E-04,5.39656,4.7986,6.5845,0.0245,0.1371,0.0037
2017-05-06,HARV,12.56578667,7.2351,19.8727,0.004620281,12.596865,11.5483,14.7306,0.1853,0.1417,0.0101
2017-05-07,HARV,11.05740458,7.3899,18.8792,0.017276131,8.40994,7.4579,9.6378,0.075,0.1389,0.0065
2017-05-08,HARV,5.031757965,2.2714,9.5512,0.00466289,4.236005,3.2435,5.9945,0.1092,0.1374,0.0078
2017-05-09,HARV,5.562748958,-0.9684,12.4707,0.012860002,5.14906875,2.5568,7.5579,0.2348,0.1393,0.0114
2017-05-10,HARV,7.25784375,2.6237,14.2295,0.00696581,5.42573125,3.0608,7.9878,0.3261,0.1389,0.0135
2017-05-11,HARV,9.524255729,2.8259,19.2278,0.043808596,7.53774375,4.7971,9.6714,0.1836,0.1392,0.0101
2017-05-12,HARV,9.582335938,2.6178,18.1238,0.015795786,8.66165625,6.8496,10.9037,0.252,0.1408,0.0118
2017-05-13,HARV,8.400051042,4.9472,13.1498,0.002139956,8.28455625,6.6668,10.1217,0.0961,0.1391,0.0073
2017-05-14,HARV,5.238320833,1.2054,9.5771,8.47E-04,4.18239375,2.8046,5.8735,0.0848,0.1372,0.0069
2017-05-15,HARV,9.028165104,5.826,15.1989,0.009032643,6.49604375,5.9512,7.5694,0.0214,0.1376,0.0034
2017-05-16,HARV,15.00556354,5.6718,27.4715,0.026297218,12.36826875,8.2149,15.1845,0.3437,0.1419,0.0138
2017-05-17,HARV,20.73901979,9.5426,33.9394,0.030189449,17.529025,11.8505,20.9413,0.8295,0.148,0.0215
2017-05-18,HARV,24.98045365,15.2685,36.0533,0.019408374,22.841525,17.8152,26.4645,0.3166,0.1471,0.0133
2017-05-19,HARV,21.50348438,14.8484,30.8554,0.379428907,19.61138125,16.3248,22.1757,0.1564,0.145,0.0093
2017-05-20,HARV,14.13349219,8.6997,22.1858,0.014621795,11.33145,9.6258,13.0614,0.1324,0.1405,0.0086
2017-05-21,HARV,13.52427708,6.5301,20.4194,0.007880124,11.4049,9.2844,14.105,0.3712,0.1421,0.0144
2017-05-22,HARV,9.470689063,6.2542,16.3412,0.00551004,7.5589875,6.646,8.5776,0.0215,0.138,0.0035
2017-05-23,HARV,12.51397188,8.4715,18.2007,0.002377625,10.809725,9.2058,12.3451,0.1425,0.14,0.0089
2017-05-24,HARV,14.67554882,9.8303,20.3371,0.002933664,13.299875,10.8009,16.0634,0.383,0.1439,0.0146
2017-05-25,HARV,10.63461823,8.8961,16.0476,6.00E-04,10.68575625,10.0438,11.6209,0.0073,0.1393,0.002
2017-05-26,HARV,9.534133333,7.6126,13.2491,6.15E-05,8.20665,7.696,8.9753,0.0106,0.1381,0.0024
